Symbol,Date,Close,Volume
SBL,2024-06-13,251.9,"28,162.00"
SBL,2024-06-12,254.0,"28,340.00"
SBL,2024-06-11,252.0,"83,287.00"
SBL,2024-06-10,249.9,"59,254.00"
SBL,2024-06-09,249.0,"28,100.00"
SBL,2024-06-06,249.0,"36,703.00"
SBL,2024-06-05,249.0,"30,602.00"
SBL,2024-06-04,249.5,"27,944.00"
SBL,2024-06-03,247.5,"21,934.00"
SBL,2024-06-02,254.0,"40,737.00"
SBL,2024-05-30,251.9,"39,218.00"
SBL,2024-05-29,255.0,"81,781.00"
SBL,2024-05-27,265.9,"104,586.00"
SBL,2024-05-26,269.0,"139,233.00"
SBL,2024-05-22,266.0,"290,186.00"
SBL,2024-05-21,250.7,"95,137.00"
SBL,2024-05-20,240.5,"140,503.00"
SBL,2024-05-19,234.0,"86,405.00"
SBL,2024-05-16,227.5,"58,482.00"
SBL,2024-05-15,228.8,"44,941.00"
SBL,2024-05-14,229.2,"44,431.00"
SBL,2024-05-13,228.8,"75,603.00"
SBL,2024-05-12,223.0,"50,226.00"
SBL,2024-05-09,220.0,"39,899.00"
SBL,2024-05-08,216.9,"23,250.00"
SBL,2024-05-07,219.9,"17,752.00"
SBL,2024-05-06,217.8,"14,531.00"
SBL,2024-05-05,219.0,"26,122.00"
SBL,2024-05-02,222.5,"26,807.00"
SBL,2024-04-30,224.0,"32,194.00"
SBL,2024-04-29,218.6,"22,753.00"
SBL,2024-04-28,217.0,"103,359.00"
SBL,2024-04-25,216.8,"28,327.00"
SBL,2024-04-24,218.4,"10,194.00"
SBL,2024-04-22,217.9,"35,778.00"
SBL,2024-04-21,222.0,"11,266.00"
SBL,2024-04-18,222.7,"17,431.00"
SBL,2024-04-16,223.0,"101,346.00"
SBL,2024-04-15,224.0,"94,566.00"
SBL,2024-04-14,226.0,"33,858.00"
SBL,2024-04-10,224.0,"18,476.00"
SBL,2024-04-09,224.7,"26,531.00"
SBL,2024-04-07,223.0,"15,360.00"
SBL,2024-04-04,217.0,"22,228.00"
SBL,2024-04-03,219.0,"22,266.00"
SBL,2024-04-02,218.0,"18,300.00"
SBL,2024-04-01,220.0,"37,531.00"
SBL,2024-03-31,220.0,"19,027.00"
SBL,2024-03-28,220.0,"14,696.00"
SBL,2024-03-27,222.0,"25,058.00"
SBL,2024-03-26,223.0,"17,735.00"
SBL,2024-03-25,221.0,"24,767.00"
SBL,2024-03-21,225.0,"26,960.00"
SBL,2024-03-20,227.4,"23,792.00"
SBL,2024-03-19,225.9,"31,416.00"
SBL,2024-03-18,226.8,"14,851.00"
SBL,2024-03-17,230.0,"14,381.00"
SBL,2024-03-14,230.0,"21,776.00"
SBL,2024-03-13,233.0,"76,518.00"
SBL,2024-03-12,233.0,"26,861.00"
SBL,2024-03-10,225.0,"12,942.00"
SBL,2024-03-07,223.0,"21,453.00"
SBL,2024-03-06,220.0,"27,290.00"
SBL,2024-03-05,219.2,"41,185.00"
SBL,2024-03-04,228.0,69.00
SBL,2024-03-03,215.0,"41,174.00"
SBL,2024-02-29,216.7,"71,868.00"
SBL,2024-02-28,219.0,"23,828.00"
SBL,2024-02-27,222.0,"24,960.00"
SBL,2024-02-26,219.9,"57,953.00"
SBL,2024-02-25,223.0,"31,854.00"
SBL,2024-02-22,226.0,"28,291.00"
SBL,2024-02-21,226.0,"29,943.00"
SBL,2024-02-20,228.0,"12,497.00"
SBL,2024-02-18,227.3,"32,072.00"
SBL,2024-02-15,226.0,"32,083.00"
SBL,2024-02-14,228.0,"33,497.00"
SBL,2024-02-13,228.5,"34,419.00"
SBL,2024-02-12,232.5,"18,126.00"
SBL,2024-02-11,232.9,"21,645.00"
SBL,2024-02-08,234.2,"19,336.00"
SBL,2024-02-07,233.0,"20,492.00"
SBL,2024-02-06,233.0,"15,060.00"
SBL,2024-02-05,232.3,"15,093.00"
SBL,2024-02-04,233.0,"19,866.00"
SBL,2024-02-01,233.2,"16,993.00"
SBL,2024-01-31,239.0,"59,498.00"
SBL,2024-01-30,234.9,"20,854.00"
SBL,2024-01-29,234.3,"28,579.00"
SBL,2024-01-28,234.9,"54,648.00"
SBL,2024-01-25,235.1,"40,477.00"
SBL,2024-01-24,238.8,"40,782.00"
SBL,2024-01-23,239.5,"30,744.00"
SBL,2024-01-22,242.0,"68,039.00"
SBL,2024-01-21,240.0,"42,988.00"
SBL,2024-01-18,246.0,"43,518.00"
SBL,2024-01-17,252.9,"149,333.00"
SBL,2024-01-16,255.5,"75,269.00"
SBL,2024-01-14,250.0,"41,542.00"
SBL,2024-01-11,250.1,"40,324.00"
SBL,2024-01-10,245.1,"60,402.00"
SBL,2024-01-09,248.0,"24,958.00"
SBL,2024-01-08,245.0,"70,283.00"
SBL,2024-01-07,244.5,"97,843.00"
SBL,2024-01-04,253.0,"37,719.00"
SBL,2024-01-03,254.0,"39,567.00"
SBL,2024-01-02,250.2,"56,527.00"
SBL,2024-01-01,252.0,"50,148.00"
SBL,2023-12-28,250.0,"46,429.00"
SBL,2023-12-27,255.0,"41,146.00"
SBL,2023-12-24,257.3,"56,225.00"
SBL,2023-12-21,257.0,"64,991.00"
SBL,2023-12-20,268.0,"61,636.00"
SBL,2023-12-19,270.0,"116,866.00"
SBL,2023-12-18,257.5,"93,509.00"
SBL,2023-12-17,247.0,"50,829.00"
SBL,2023-12-14,246.0,"24,854.00"
SBL,2023-12-13,241.0,"29,714.00"
SBL,2023-12-12,240.7,"29,170.00"
SBL,2023-12-11,242.9,"49,490.00"
SBL,2023-12-10,245.0,"4,181.00"
SBL,2023-12-07,227.2,"8,262.00"
SBL,2023-12-06,228.9,"10,290.00"
SBL,2023-12-05,228.0,"9,925.00"
SBL,2023-12-04,231.0,"23,358.00"
SBL,2023-12-03,231.8,"17,582.00"
SBL,2023-11-30,230.0,"9,692.00"
SBL,2023-11-29,230.0,"15,852.00"
SBL,2023-11-28,230.3,"30,633.00"
SBL,2023-11-27,230.2,"11,776.00"
SBL,2023-11-26,231.2,"26,526.00"
SBL,2023-11-23,227.0,"20,260.00"
SBL,2023-11-22,227.0,"9,271.00"
SBL,2023-11-21,228.0,"6,932.00"
SBL,2023-11-20,230.0,"19,051.00"
SBL,2023-11-09,232.0,"9,382.00"
SBL,2023-11-08,232.3,"8,371.00"
SBL,2023-11-07,235.0,"30,187.00"
SBL,2023-11-06,237.5,"30,551.00"
SBL,2023-11-05,234.0,"78,173.00"
SBL,2023-11-02,243.9,"26,457.00"
SBL,2023-11-01,243.0,"34,132.00"
SBL,2023-10-31,242.5,"13,250.00"
SBL,2023-10-30,245.9,"24,849.00"
SBL,2023-10-29,247.0,"32,690.00"
SBL,2023-10-19,248.0,"21,880.00"
SBL,2023-10-18,247.2,"49,809.00"
SBL,2023-10-17,243.1,"43,852.00"
SBL,2023-10-16,240.8,"31,146.00"
SBL,2023-10-12,242.5,"161,280.00"
SBL,2023-10-11,250.6,"16,543.00"
SBL,2023-10-10,249.4,"32,902.00"
SBL,2023-10-09,252.5,"23,227.00"
SBL,2023-10-08,256.8,"34,484.00"
SBL,2023-10-05,261.0,"60,275.00"
SBL,2023-10-04,260.7,"58,270.00"
SBL,2023-10-03,260.0,"66,091.00"
SBL,2023-10-02,260.5,"34,534.00"
SBL,2023-10-01,260.0,"43,216.00"
SBL,2023-09-27,262.0,"30,057.00"
SBL,2023-09-26,261.0,"68,279.00"
SBL,2023-09-25,257.1,"11,920.00"
SBL,2023-09-24,257.0,"15,953.00"
SBL,2023-09-21,259.0,"50,474.00"
SBL,2023-09-19,258.5,"14,944.00"
SBL,2023-09-18,253.5,"27,733.00"
SBL,2023-09-17,256.9,"33,669.00"
SBL,2023-09-13,263.7,"45,907.00"
SBL,2023-09-12,263.0,"40,847.00"
SBL,2023-09-11,261.0,"24,393.00"
SBL,2023-09-10,254.9,"30,535.00"
SBL,2023-09-07,251.0,"124,320.00"
SBL,2023-09-05,262.5,"13,971.00"
SBL,2023-09-04,261.0,"23,593.00"
SBL,2023-09-03,260.5,"22,182.00"
SBL,2023-08-30,264.0,"78,614.00"
SBL,2023-08-29,263.0,"13,058.00"
SBL,2023-08-28,266.7,"18,872.00"
SBL,2023-08-27,265.0,"53,952.00"
SBL,2023-08-24,266.0,"48,960.00"
SBL,2023-08-23,268.9,"42,597.00"
SBL,2023-08-22,266.0,"22,040.00"
SBL,2023-08-21,267.0,"47,806.00"
SBL,2023-08-20,268.0,"46,287.00"
SBL,2023-08-17,265.0,"58,770.00"
SBL,2023-08-16,264.0,"69,109.00"
SBL,2023-08-15,263.0,"61,291.00"
SBL,2023-08-14,258.0,"56,221.00"
SBL,2023-08-13,255.1,"37,974.00"
SBL,2023-08-10,252.0,"39,080.00"
SBL,2023-08-09,252.9,"28,520.00"
SBL,2023-08-08,249.7,"41,754.00"
SBL,2023-08-07,254.0,"59,435.00"
SBL,2023-08-06,258.9,"100,729.00"
SBL,2023-08-03,264.1,"30,845.00"
SBL,2023-08-02,260.4,"29,090.00"
SBL,2023-08-01,259.0,"23,166.00"
SBL,2023-07-31,263.5,"70,409.00"
SBL,2023-07-30,260.0,"70,437.00"
